Respondent ID,Collector ID,Start Date,End Date,IP Address,Latitude,Longitude,What is your relationship to the Township?,,,,,In what section of the township do you live?,How many years have you lived in the Township?,,,,,,What are the ages of those living in your house? Check all that apply.,,,,,,,Where do members of your household work? Check all that apply.,,,,,,,,,,,,,What are the top two reasons you live in the Township?,,,,,,,,,Do you rent or own your home? ,Is farming your family's primary source of income?,"If you are a farmer, how many acres do you own?",How many acres do you own?,How likely are you to sell your property in the next 12 months,The Township needs more of which type(s) of housing units? Check all that apply.,,,,,,,Would You Consider Yourself: ,Which type(s) of commercial development would you like to see in the Township? Check all that apply.,,,,,,,,Which type(s) of job-creating employment opportunities would you like to see in the Township? Check all that apply. ,,,,,,,What are methods of encouraging businesses/industry you would support?,,,,,,,Would you like to see more public parkland in the Township?,How important is it to use land use planning and zoning in the following manner:,,,,,Do you feel the following services are needed or should be improved? Check all that apply.,,,,,,,,Items for which you would support an additional tax. Check all that apply. ,,,,,,,,,,Which type of tax would you support for such services? ,,"In your opinion, is it important to work with adjacent communities to coordinate growth?",Do you think a bike path system should be strategically created for recreation and possibly commuting purposes in the Township?,,Please feel free to comment on issues affecting the Township that are not addressed in this survey.
118214718454,447972561,2023-01-07 13:27:43,2023-01-07 13:34:58,76.181.118.23,39.9955726,-82.6742373,I live in Etna Township,,,,,5 (SE),,,10 - 19 Years,,,,,6 - 12 Years Old,13 - 18 Years Old,,,45 - 65 Years Old,,Etna Township,,,,,,,,,,,,,,,,,School System,,,My Family has Lived Here for Generations,,Own,No - we have other occupations.,,< 2 Acres,100,,Farm House/Large Lot,,,,,,Strongly Anti Growth,,,,Neighborhood Commercial,,,,,None of the above,,,,,,,None of the above,,,,,,,Yes,Very,Very,Very,Very,Very,,Broadband Internet,,,Recycling,,,,,,,,,Provide Social Services For All Ages,Improve Police Protection,,Improve/Provide Parks and Recreation Facilities,,None of the above,,Very important,Yes,,
118214388917,447972561,2023-01-06 19:00:36,2023-01-06 19:09:40,24.208.132.46,39.9622601,-83.0007065,I live in Etna Township,,,,,2 (NW),,,10 - 19 Years,,,,,,,,,45 - 65 Years Old,66+ Years Old,,,Newark,,,,Columbus,,,,,,,,,,,,,Rural Atmosphere,,,Own,No - we have other occupations.,,,11,,Farm House/Large Lot,,,,,,Pro Limited Growth,,,,,Agri-Business,,,,,,,,,Maintain Current Farming and Agricultural Base,,,Tax Reductions,,,,,,Yes,Very,Very,Very,Very,Very,,,Central Water,Central Sewer,Recycling,,,,,Recycling,Fire Station Facility,Improve Emergency Services,,,Improve Police Protection,Central Water and Sewer Facilities,,,Income (in association with Joint Economic Development District),,Somewhat important,Maybe (please specify),Not sure on this yet,Officials of township that can be trusted and easily approachable and will listen. Rozlan Mckee was a disappointment! 
118214374915,447972561,2023-01-06 18:33:58,2023-01-06 18:39:03,165.225.62.121,41.88502705,-87.60030578,I live in Etna Township,,,,,3 (SW),,,10 - 19 Years,,,,,6 - 12 Years Old,,,26 - 44 Years Old,,,,,,,,,Columbus,,,,,,,Quiet for Retirement,,Friendliness,,,Lack of Congestion,Rural Atmosphere,,,Own,No - we have other occupations.,,< 2 Acres,100,,,Single Family,,,,Gated Communities,Anti Growth,,,,,,,,,,,,,,Maintain Current Farming and Agricultural Base,,None of the above,,,,,,,Yes,Very,Somewhat,Somewhat,Very,Very,,Broadband Internet,,,Recycling,,,,,Recycling,Fire Station Facility,Improve Emergency Services,,,Improve Police Protection,,Improve/Provide Parks and Recreation Facilities,,Income (in association with Joint Economic Development District),,Very important,Yes,,
118214357808,448603621,2023-01-06 17:53:10,2023-01-06 18:01:31,76.34.143.2,39.9955726,-82.6742373,I live in Etna Township,,,,,4 (NE),,,10 - 19 Years,,,,,,13 - 18 Years Old,19 - 25 Years Old,,45 - 65 Years Old,,,,,,,Pataskala,Columbus,,,,,,,,,Friendliness,,,Lack of Congestion,Rural Atmosphere,,,Own,No - we have other occupations.,,< 2 Acres,50,,Farm House/Large Lot,Single Family,,,,,Pro Limited Growth,,,Rural Home Occupations,,Agri-Business,,,,,,,Office/Service,Recreation/Resort Activity,Maintain Current Farming and Agricultural Base,,,,,Job Training,Business Centers,,,Yes,Very,Very,Very,Very,Very,,Broadband Internet,Central Water,Central Sewer,Recycling,,,,,Recycling,Fire Station Facility,Improve Emergency Services,Improve Schools,Provide Social Services For All Ages,Improve Police Protection,Central Water and Sewer Facilities,Improve/Provide Parks and Recreation Facilities,,Bond Issue for Facilities,,Very important,No,,
118212784544,448603621,2023-01-04 16:09:40,2023-01-06 07:23:06,174.207.99.128,40.6526006,-73.9497211,I live in Etna Township,,,,,5 (SE),,,,20 - 39 Years,,,,,,,,,66+ Years Old,,,,,,,,,,,,Retired,,,,,,,Lack of Congestion,Rural Atmosphere,,,Own,No - we have other occupations.,,11 - 25 Acres,71,,Farm House/Large Lot,,,,,Gated Communities,Pro Limited Growth,,,,Neighborhood Commercial,,,,,,Light Manufacturing,,,,,,,Tax Reductions,,,,,,Yes,Very,Very,Very,Somewhat,Very,,Broadband Internet,,,,,Natural Gas,,None of the above,,,,,,,,,,None of the above,,Somewhat important,No,,I’m oppressed to the Kirkersville land annexation and proposed warehouse development on far east end of Etna. It is destroying my property which I have owned for over thirty years while my property tax continues to go y.
118213943298,447972561,2023-01-06 07:04:34,2023-01-06 07:10:06,74.140.118.8,40.0581205,-82.4012643,I live in Etna Township,,,,,1 (Reynoldsburg),,,,,Over 40 Years,,,,,,,,66+ Years Old,,,,,,,,,,,,Retired,,Quiet for Retirement,,,,,,Rural Atmosphere,My Family has Lived Here for Generations,,Own,No - we have other occupations.,,< 2 Acres,49,,Farm House/Large Lot,Single Family,,,,,Strongly Anti Growth,,,,,,,,We have enough ,,,,,,Maintain Current Farming and Agricultural Base,We’ve had enough commercial growth ,,,,Job Training,,,,Yes,Very,Very,Very,Very,Very,None of the above,,,,,,,,None of the above,,,,,,,,,,None of the above,,Very important,Yes,,Trustee McKee and Johnson are crooked and need to go. Erna is the laughingstock of Licking County. It’s a swamp equal to DC
118213926498,447972561,2023-01-06 06:24:34,2023-01-06 06:34:10,174.207.35.66,40.7127281,-74.0060152,I live in Etna Township,,,,,2 (NW),,5 - 9 Years,,,,I do not live in the Township,0 - 5 Years Old,6 - 12 Years Old,13 - 18 Years Old,19 - 25 Years Old,26 - 44 Years Old,,66+ Years Old,,,,,,,Columbus,,,,,,,,,,,,Lack of Congestion,Rural Atmosphere,,,Own,No - we have other occupations.,,< 2 Acres,0,None of the above,,,,,,,Pro Limited Growth,Large Shopping Mall (Easton/Polaris),Strip Shopping Areas,,Neighborhood Commercial,,,,No more logistics please ,,,,Office/Service,Recreation/Resort Activity,,OSU Medical office/hospital,,Tax Reductions,,,,,,Yes,Very,Very,Somewhat,Somewhat,Somewhat,,Broadband Internet,,,Recycling,,,,,,Fire Station Facility,Improve Emergency Services,Improve Schools,Provide Social Services For All Ages,Improve Police Protection,,Improve/Provide Parks and Recreation Facilities,,Income (in association with Joint Economic Development District),,Very important,Yes,,Need parks and rec center
118213589439,448603621,2023-01-05 17:07:51,2023-01-05 17:28:42,173.89.218.208,39.9622601,-83.0007065,I live in Etna Township,,,,,4 (NE),,,,20 - 39 Years,,,,,,19 - 25 Years Old,,,66+ Years Old,,,,,,,,,,,,Retired,Unemployed,,,,,,,Rural Atmosphere,,Proximity to Columbus,Own,No - we have other occupations.,,< 2 Acres,35,None of the above,,,,,,,Pro Limited Growth,,Strip Shopping Areas,Rural Home Occupations,Neighborhood Commercial,,,,,,Light Manufacturing,,Office/Service,,Maintain Current Farming and Agricultural Base,Warehouse,,Tax Reductions,,Job Training,,,,Yes,Somewhat,Somewhat,Somewhat,Very,Somewhat,,,Central Water,Central Sewer,,,,,,,Fire Station Facility,Improve Emergency Services,Improve Schools,,Improve Police Protection,Central Water and Sewer Facilities,,,Bond Issue for Facilities,,Somewhat important,No,,"Street tree regulations in Cameron Chase are to strong,  especially since so many are lost to Ash borer"
118213564961,447972561,2023-01-05 16:19:12,2023-01-05 16:36:11,74.139.216.90,39.9622601,-83.0007065,I live in Etna Township,,,,,2 (NW),0 - 4 Years,,,,,,,,,,,45 - 65 Years Old,,,,,,,,Columbus,,,,,,,Quiet for Retirement,,,,,Lack of Congestion,Rural Atmosphere,,,Own,No - we have other occupations.,0 - 5 Acres,< 2 Acres,100,,Farm House/Large Lot,,,,,Gated Communities,Pro Limited Growth,,,,,,,,Restaurant ,,,,Office/Service,,,,None of the above,,,,,,,Yes,Not,Not,Very,Very,Somewhat,,Broadband Internet,,,,,,Snow plows ,,,,,Improve Schools,,Improve Police Protection,,,,Bond Issue for Facilities,,Very important,Yes,,Dysfunctional board of trustees. Johnson needs to go.
118213485217,447972561,2023-01-05 14:21:47,2023-01-05 14:35:24,104.230.226.91,39.9622601,-83.0007065,I live in Etna Township,,,,,4 (NE),,,,,Over 40 Years,,,,,,,,66+ Years Old,,,,,,,,,,,,Retired,,,,,,,,,,Used to be lack of congestion and rural atmosphere but that has all changed recently.,Own,No - we have other occupations.,,< 2 Acres,100,None of the above,,,,,,,Pro Limited Growth,,,,,,,,None.  Too much traffic now.,,,,,,Maintain Current Farming and Agricultural Base,,,,,Job Training,,,,Yes,Very,Very,Very,Somewhat,Very,,Broadband Internet,,,,,,,,,,,,,,,,None.  I am senior citizen on reduced income.,None of the above,,Very important,No,,
118213375776,447972561,2023-01-05 11:53:12,2023-01-05 12:02:08,104.230.235.253,39.9622601,-83.0007065,I live in Etna Township,,,,,2 (NW),,,,20 - 39 Years,,,,,,,,45 - 65 Years Old,,Etna Township,,,,,,Columbus,,,,,,,,Access to Employment,,,,,,,,Own,No - we have other occupations.,,< 2 Acres,8,None of the above,,,,,,,Pro Limited Growth,,,,Neighborhood Commercial,,,,,None of the above,,,,,,,None of the above,,,,,,,Yes,Very,Very,,Somewhat,,,,Central Water,Central Sewer,Recycling,,,,,,,,,,,,Improve/Provide Parks and Recreation Facilities,,Bond Issue for Facilities,,Very important,Maybe (please specify),Needs careful planning to be successful,The current road/street system is not prepared for the ongoing level of growth.
118213343685,447972561,2023-01-05 11:08:07,2023-01-05 11:20:43,74.143.142.58,39.9955726,-82.6742373,I live in Etna Township,,,,,4 (NE),0 - 4 Years,,,,,,,,,,,45 - 65 Years Old,,Etna Township,,,,,Pataskala,,,,,,,,,,,,,Lack of Congestion,Rural Atmosphere,,,Own,No - we have other occupations.,,< 2 Acres,99,,Farm House/Large Lot,,,,,,Pro Limited Growth,,,Rural Home Occupations,Neighborhood Commercial,,,,,,,,Office/Service,,Maintain Current Farming and Agricultural Base,,,,,,,,Area zoned for development of well-planned service/retail/health-focused area (like Market Street in New Albany) ,Yes,Very,Very,Very,Somewhat,Very,,,,,,,,"Parks and recreation, and other opportunities for Healthy Etna. ",,,,,,,,,Improve/Provide Parks and Recreation Facilities,Better Roads and Development of health/service/retail area similar to New Albany's Market Street. ,Local License Tax for Roads,,Very important,Maybe (please specify),I think parks should be priority. Paths can come later in the plan. ,"Etna's leadership should be more transparent and communicative. I am hoping that Etna will now be developed as a green-filled/rural-styled suburb, not as a manufacturing or distribution center. We have enough of that in the Township. Time to start adding benefits for residents, as well as WELL-PLANNED and STYLED communities. Pick a theme and develop around it. "
118213316412,448603621,2023-01-05 10:38:03,2023-01-05 10:45:27,174.207.99.50,41.8725781,-75.7271318,I live in Etna Township,,,,,3 (SW),,,,,Over 40 Years,,,,,,,,66+ Years Old,,,,,,,,,,,,Retired,,,,,,,,,My Family has Lived Here for Generations,,Own,No - we have other occupations.,,< 2 Acres,43,,,,,,,,Pro Limited Growth,,,,,,,Logistics & Warehousing,,,,,Office/Service,,,,,Tax Reductions,,,,,,No,Somewhat,Somewhat,Somewhat,Somewhat,Very,,Broadband Internet,,,,,,,None of the above,,,,,,,,,,None of the above,,Somewhat important,No,,
118213273918,448603621,2023-01-05 09:43:17,2023-01-05 09:47:53,172.56.21.141,36.1622767,-86.7742984,I live in Etna Township,,,,,1 (Reynoldsburg),,,,20 - 39 Years,,,,,,19 - 25 Years Old,,45 - 65 Years Old,,Etna Township,Reynoldsburg,,,,,Columbus,,,,Elsewhere in Franklin County,,,,,,,,Lack of Congestion,Rural Atmosphere,,,Own,No - we have other occupations.,,< 2 Acres,100,,Farm House/Large Lot,,,,,,Pro Limited Growth,,,,,,,,,None of the above,,,,,,,,,,Job Training,,,,Yes,Very,Very,Very,Very,Very,,Broadband Internet,,,Recycling,,,,,,,,Improve Schools,,,,,,Local License Tax for Roads,,Very important,Yes,,
118213273917,447972561,2023-01-05 09:42:53,2023-01-05 09:47:24,174.96.155.220,40.2425623,-82.8590673,,,,I work in Etna Township but live elsewhere,,Do not live in the township,,,,,,I do not live in the Township,,,,,26 - 44 Years Old,,,Etna Township,Reynoldsburg,,Granville,Johnstown,Pataskala,,New Albany,,Elsewhere in Licking County,,,,,Access to Employment,,,,,,,,Own,No - we have other occupations.,,< 2 Acres,83,,Farm House/Large Lot,Single Family,,,,Gated Communities,Pro Limited Growth,,,Rural Home Occupations,,Agri-Business,,,,,,,,Recreation/Resort Activity,Maintain Current Farming and Agricultural Base,,,,,Job Training,,,,Yes,Very,Very,Somewhat,Very,Very,,Broadband Internet,Central Water,Central Sewer,,,,,,,,Improve Emergency Services,Improve Schools,Provide Social Services For All Ages,,Central Water and Sewer Facilities,Improve/Provide Parks and Recreation Facilities,,Bond Issue for Facilities,,Somewhat important,Yes,,
118213207818,447972561,2023-01-05 07:54:33,2023-01-05 08:00:02,98.28.27.252,39.9622601,-83.0007065,I live in Etna Township,,,,,2 (NW),,5 - 9 Years,,,,,,,,19 - 25 Years Old,26 - 44 Years Old,45 - 65 Years Old,,,Reynoldsburg,,,,,,,,,Elsewhere in Franklin County,,,,Access to Employment,,Cleanliness,,,Rural Atmosphere,,,Rent,No - we have other occupations.,,,,None of the above,,,,,,,Pro Limited Growth,,Strip Shopping Areas,,,,,,,,,,,,Maintain Current Farming and Agricultural Base,,None of the above,,,,,,,No,Very,Very,Very,Very,Very,,,,Central Sewer,Recycling,,,,,Recycling,,,,,,Central Water and Sewer Facilities,,,Bond Issue for Facilities,,Somewhat important,No,,
118213207802,447972561,2023-01-05 07:53:14,2023-01-05 08:00:01,172.56.20.238,36.1622767,-86.7742984,I live in Etna Township,,,,,5 (SE),,,10 - 19 Years,,,,,,,,,45 - 65 Years Old,,,,,,,,Columbus,,,,,,,,,,,,,,,Husbands job he has since changed ,Own,No - we have other occupations.,,< 2 Acres,100,,,Single Family,,,,,Pro Limited Growth,,Strip Shopping Areas,,,,,,,,,,Office/Service,,,,None of the above,,,,,,,Yes,Very,Very,Very,Very,Very,,Broadband Internet,,,,,,,,,,,,,Improve Police Protection,,,,Local License Tax for Roads,,Very important,Yes,,Too many warehouses
118213183580,447972561,2023-01-05 07:05:27,2023-01-05 07:10:54,174.207.39.219,40.7127281,-74.0060152,I live in Etna Township,,,,,3 (SW),,,10 - 19 Years,,,,,,13 - 18 Years Old,,26 - 44 Years Old,,,,,,,,,Columbus,,,,,,,,,,,,Lack of Congestion,Rural Atmosphere,,,Own,No - we have other occupations.,,< 2 Acres,10,,Farm House/Large Lot,,,,,,Pro Limited Growth,,,Rural Home Occupations,,Agri-Business,,,,None of the above,,,,,,,None of the above,,,,,,,Yes,Very,Very,Very,Very,Very,None of the above,,,,,,,,None of the above,,,,,,,,,,None of the above,,Very important,Yes,,"Too many warehouses, infrastructure is insufficient for existing warehouses"
118213181878,447972561,2023-01-05 06:59:47,2023-01-05 07:08:03,65.60.200.2,40.0737476,-83.0184296,I live in Etna Township,,,,,1 (Reynoldsburg),,5 - 9 Years,,,,,,,,,,45 - 65 Years Old,,,Reynoldsburg,,,,,,,,,,Retired,,,,,,,,,My Family has Lived Here for Generations,,Own,No - we have other occupations.,,< 2 Acres,51,,,Single Family,,,Senior/Assisted Living,,Pro Limited Growth,,,Rural Home Occupations,Neighborhood Commercial,,,,,,Light Manufacturing,,Office/Service,Recreation/Resort Activity,,,,Tax Reductions,,Job Training,Business Centers,,,Yes,Very,Somewhat,Very,Somewhat,Very,,Broadband Internet,Central Water,Central Sewer,,,,,,,Fire Station Facility,Improve Emergency Services,,Provide Social Services For All Ages,Improve Police Protection,Central Water and Sewer Facilities,Improve/Provide Parks and Recreation Facilities,,Bond Issue for Facilities,,Very important,Maybe (please specify),Use TIFF money to pay for it ,
118200479085,447972561,2022-12-13 22:48:10,2023-01-05 01:11:44,65.185.19.31,40.0581205,-82.4012643,I live in Etna Township,,,,,4 (NE),,,,20 - 39 Years,,,,,,,,45 - 65 Years Old,,,,,,,,,New Albany,,,,,,Quiet for Retirement,,,,,,,My Family has Lived Here for Generations,,Own,Yes,100 - 300 Acres,101 + Acres,0,,,,Townhome/Condo,,,,Pro Growth,,,,,,,Logistics & Warehousing,,,,Heavy Manufacturing,,,,,,,,,,Industrial Park,,No,Not,Somewhat,Somewhat,Not,Not,,,Central Water,Central Sewer,,,,,,,,,,,,Central Water and Sewer Facilities,,,Income (in association with Joint Economic Development District),,Not important,No,,Lack of leadership on the board.
